Compound,NumKinases,Kinases
11350631,2,"BMPR2, HIPK2"
11556910,2,"CDK7, CLK1"
11571555,2,"CLK4, DYRK1A"
11571392,2,"ABL1, BRAF"
11629002,2,"CLK1, CLK2"
11664966,2,"BRAF, GAK"
139509773,2,"ABL1, DDR1"
134590429,2,"DDR1, GAK"
130405988,2,"GAK, HIPK2"
132115472,2,"DDR1, GAK"
122609622,2,"ABL1, DDR1"
40413,2,"GAK, ULK1"
40585,2,"ABL1, CLK1"
40326,2,"CLK1, HIPK2"
25241871,2,"CDK7, DYRK1A"
24781705,2,"ABL1, DDR1"
3347,2,"CLK1, HIPK2"
3081924,2,"CAMK2A, CDK7"
3391107,2,"GAK, KIT"
37123,2,"DDR1, HIPK2"
38283,2,"HIPK2, ULK1"
40521,2,"CLK4, DYRK1A"
15764724,2,"CDK7, DYRK1A"
157602,2,"ABL1, KIT"
155467987,2,"CLK1, GAK"
156304554,2,"CLK1, GAK"
15546,2,"CLK4, HIPK2"
14127920,2,"CLK1, DYRK1A"
146602715,2,"CDK7, HIPK2"
151720246,2,"ABL1, LYN"
164806248,2,"DDR1, HCK"
182481,2,"ABL1, HCK"
174656,2,"CLK1, KIT"
162483615,2,"CDK7, DDR1"
213013,2,"CLK1, DYRK1A"
176133503,2,"CLK1, CLK4"
23669621,2,"ABL1, DDR1"
38854,2,"BMPR1B, HIPK2"
52999,2,"BMPR2, CDK7"
52998,2,"ABL1, CLK1"
5282227,2,"CLK1, DYRK1A"
45381138,2,"DDR1, GAK"
86103,2,"CLK1, HIPK2"
85470938,2,"ABL1, DDR1"
57418258,2,"CLK4, KIT"
5851439,2,"DDR1, KIT"
54678504,2,"DYRK1A, GAK"
62506,2,"ABL1, GAK"
811359,2,"BMPR2, HIPK2"
68018336,2,"GAK, LYN"
67119441,2,"CSF1R, DDR1"
6636,2,"BMPR1B, CLK4"
86354,2,"CLK1, DYRK1A"
86426,2,"CLK4, DYRK1A"
91734,2,"ABL1, DDR1"
91692,2,"CLK2, DYRK1A"
91677,2,"BMPR2, HIPK2"
91656,2,"CLK1, DYRK1A"
91612,2,"CLK4, DYRK1A"
9013425,2,"CLK4, DYRK1A"
86443,2,"HIPK2, ULK1"
89881183,2,"ABL1, CSF1R"
86138,2,"CSNK1A1, DYRK1A"
92401,2,"CLK1, GAK"
91741,2,"ABL1, DDR1"
91773,2,"ABL1, CSNK1D"
93482,2,"CSF1R, DDR1"
93379,2,"CLK1, HIPK2"
92425,2,"GAK, ULK1"
93539,2,"CLK1, ULK1"
